NIB_OSS,ID_PERUSAHAAN_CEISA,NIB_CEISA,match_type,similarity_score
0433218196001,C002749,0433218196001,EXACT_NIB,1.0
6542351161559,C001823,6542351161559,EXACT_NIB,1.0
3056413953767,C003315,3056413953767,EXACT_NIB,1.0
8710122691669,C001534,8710122691669,EXACT_NIB,1.0
1718227824896,C002465,1718227824896,EXACT_NIB,1.0
3829973763116,C002550,3829973763116,EXACT_NIB,1.0
6247317810801,C004394,6247317810801,EXACT_NIB,1.0
7468723430980,C003466,7468723430980,EXACT_NIB,1.0
1939909169985,C004000,1939909169985,EXACT_NIB,1.0
1183842513542,C004606,1183842513542,EXACT_NIB,1.0
4935348740164,C001116,4935348740164,EXACT_NIB,1.0
2805982620450,C000558,2805982620450,EXACT_NIB,1.0
7543303654145,C003171,7543303654145,EXACT_NIB,1.0
6981693406088,C003689,6981693406088,EXACT_NIB,1.0
5648236629946,C001599,5648236629946,EXACT_NIB,1.0
2148951343320,C004602,2148951343320,EXACT_NIB,1.0
8957986872774,C000913,8957986872774,EXACT_NIB,1.0
8122362316658,C000437,8122362316658,EXACT_NIB,1.0
6889373467065,C003437,6889373467065,EXACT_NIB,1.0
1937452991241,C000532,1937452991241,EXACT_NIB,1.0
9190586518506,C000550,9190586518506,EXACT_NIB,1.0
4531473799650,C000292,4531473799650,EXACT_NIB,1.0
3678377701436,C002108,3678377701436,EXACT_NIB,1.0
3518233749894,C000106,3518233749894,EXACT_NIB,1.0
2710947775204,C001390,2710947775204,EXACT_NIB,1.0
9938677496499,C000239,9938677496499,EXACT_NIB,1.0
9740344713493,C002006,9740344713493,EXACT_NIB,1.0
6488771906594,C002021,6488771906594,EXACT_NIB,1.0
2967175655125,C000795,2967175655125,EXACT_NIB,1.0
8087603859770,C002488,8087603859770,EXACT_NIB,1.0
1317127484677,C001172,1317127484677,EXACT_NIB,1.0
9972787558867,C002155,9972787558867,EXACT_NIB,1.0
2702895171870,C004150,2702895171870,EXACT_NIB,1.0
3869222196937,C002632,3869222196937,EXACT_NIB,1.0
9464743671369,C002837,9464743671369,EXACT_NIB,1.0
3953394210470,C001646,3953394210470,EXACT_NIB,1.0
2474517123685,C000579,2474517123685,EXACT_NIB,1.0
0985931746120,C003243,0985931746120,EXACT_NIB,1.0
2931839335290,C003921,2931839335290,EXACT_NIB,1.0
0268117758917,C004060,0268117758917,EXACT_NIB,1.0
1836736576615,C001802,1836736576615,EXACT_NIB,1.0
2809885165604,C001923,2809885165604,EXACT_NIB,1.0
6899809402445,C004541,6899809402445,EXACT_NIB,1.0
5459910229014,C002149,5459910229014,EXACT_NIB,1.0
5160607159696,C003646,5160607159696,EXACT_NIB,1.0
9681645352181,C004570,9681645352181,EXACT_NIB,1.0
1277997995527,C003786,1277997995527,EXACT_NIB,1.0
4119986798079,C004321,4119986798079,EXACT_NIB,1.0
1518644925192,C002495,1518644925192,EXACT_NIB,1.0
8168505423573,C001475,8168505423573,EXACT_NIB,1.0
9270653794738,C002939,9270653794738,EXACT_NIB,1.0
2392407581814,C001740,2392407581814,EXACT_NIB,1.0
5361530515220,C004429,5361530515220,EXACT_NIB,1.0
7980893246095,C000963,7980893246095,EXACT_NIB,1.0
4051531952058,C002075,4051531952058,EXACT_NIB,1.0
3054868740345,C002118,3054868740345,EXACT_NIB,1.0
7584161692845,C002295,7584161692845,EXACT_NIB,1.0
9640165820297,C004288,9640165820297,EXACT_NIB,1.0
0727155188442,C002756,0727155188442,EXACT_NIB,1.0
7829114678669,C000653,7829114678669,EXACT_NIB,1.0
0182422535841,C004823,0182422535841,EXACT_NIB,1.0
9590010943969,C001457,9590010943969,EXACT_NIB,1.0
6773592555625,C002504,6773592555625,EXACT_NIB,1.0
9632595327877,C003307,9632595327877,EXACT_NIB,1.0
7480162456506,C001592,7480162456506,EXACT_NIB,1.0
5852398680002,C004355,5852398680002,EXACT_NIB,1.0
8879470551694,C002900,8879470551694,EXACT_NIB,1.0
9130756263689,C002561,9130756263689,EXACT_NIB,1.0
5497334843443,C004267,5497334843443,EXACT_NIB,1.0
2404157473384,C004094,2404157473384,EXACT_NIB,1.0
7120826773454,C004122,7120826773454,EXACT_NIB,1.0
4004991547887,C001207,4004991547887,EXACT_NIB,1.0
4932966851612,C001134,4932966851612,EXACT_NIB,1.0
0174268414593,C001114,0174268414593,EXACT_NIB,1.0
1878519108839,C003807,1878519108839,EXACT_NIB,1.0
7908740640391,C000103,7908740640391,EXACT_NIB,1.0
6567661825128,C003097,6567661825128,EXACT_NIB,1.0
6624628733427,C000404,6624628733427,EXACT_NIB,1.0
1830469901398,C004030,1830469901398,EXACT_NIB,1.0
4678544587717,C002035,4678544587717,EXACT_NIB,1.0
6937854777252,C003492,6937854777252,EXACT_NIB,1.0
2038750997700,C001619,2038750997700,EXACT_NIB,1.0
0339845461567,C003020,0339845461567,EXACT_NIB,1.0
9396856218501,C003662,9396856218501,EXACT_NIB,1.0
6629619431142,C002055,6629619431142,EXACT_NIB,1.0
2126788861015,C003331,2126788861015,EXACT_NIB,1.0
2444721264647,C003264,2444721264647,EXACT_NIB,1.0
5756924593752,C003606,5756924593752,EXACT_NIB,1.0
1939828073741,C000508,1939828073741,EXACT_NIB,1.0
6886805891135,C001836,6886805891135,EXACT_NIB,1.0
8899375679825,C000203,8899375679825,EXACT_NIB,1.0
1775140105123,C002195,1775140105123,EXACT_NIB,1.0
0937966033419,C003899,0937966033419,EXACT_NIB,1.0
6969155792499,C003214,6969155792499,EXACT_NIB,1.0
6278282742257,C003527,6278282742257,EXACT_NIB,1.0
2190340438427,C001695,2190340438427,EXACT_NIB,1.0
1340745171339,C004399,1340745171339,EXACT_NIB,1.0
5449481260422,C004297,5449481260422,EXACT_NIB,1.0
0684577590175,C000583,0684577590175,EXACT_NIB,1.0
5001701277063,C000834,5001701277063,EXACT_NIB,1.0
3611037129387,C003081,3611037129387,EXACT_NIB,1.0
4262218909275,C002296,4262218909275,EXACT_NIB,1.0
6523413899940,C000820,6523413899940,EXACT_NIB,1.0
9180552696582,C001615,9180552696582,EXACT_NIB,1.0
6661889241418,C000787,6661889241418,EXACT_NIB,1.0
0307562208635,C001694,0307562208635,EXACT_NIB,1.0
1744518705349,C004770,1744518705349,EXACT_NIB,1.0
0506413836702,C004107,0506413836702,EXACT_NIB,1.0
6199062344565,C000743,6199062344565,EXACT_NIB,1.0
3747411249035,C001085,3747411249035,EXACT_NIB,1.0
1712100323651,C001548,1712100323651,EXACT_NIB,1.0
0999347687014,C002886,0999347687014,EXACT_NIB,1.0
6420593040785,C004300,6420593040785,EXACT_NIB,1.0
2239559059929,C001678,2239559059929,EXACT_NIB,1.0
5932525002921,C003998,5932525002921,EXACT_NIB,1.0
2513552157043,C002353,2513552157043,EXACT_NIB,1.0
7062962015336,C000589,7062962015336,EXACT_NIB,1.0
6149731032417,C001971,6149731032417,EXACT_NIB,1.0
4774349021158,C000027,4774349021158,EXACT_NIB,1.0
6329451168685,C003977,6329451168685,EXACT_NIB,1.0
